price,type,bedrooms,bathrooms,payment_method,down_payment,size_sqm,down_payment_ratio,year,month,area,city,governorate
28000000.0,villa,3.0,4.0,cash,2800000.0,360.0,0.1,2025,August,Eden,Cairo Gate,Sheikh Zayed Compounds
15790000.0,apartment,2.0,2.0,cash,2975000.0,145.0,0.19,2025,August,Lake View Residence 2,5Th Settlement Compounds,The 5Th Settlement
6500000.0,apartment,3.0,2.0,cash,650000.0,157.0,0.1,2025,September,Ever,26Th Of July Corridor,6 October City
6000000.0,apartment,3.0,2.0,installments,2900000.0,115.0,0.48,2025,September,Madinaty,Cairo,Unknown
16000000.0,chalet,3.0,3.0,cash,630000.0,134.0,0.04,2025,September,Swan Lake Gouna,Al Gouna,Hurghada
10000000.0,chalet,3.0,3.0,installments,1000000.0,130.0,0.1,2025,August,Mesca,Soma Bay,Safaga
7600000.0,chalet,2.0,1.0,cash,390000.0,95.0,0.05,2025,August,Marseilia Beach 5,Ras Al Hekma,North Coast
3017400.0,apartment,3.0,1.0,installments,452610.0,47.0,0.15,2026,August,Atalantis,Hurghada Resorts,Hurghada
14000000.0,apartment,3.0,3.0,installments,0.0,150.0,0.0,2025,August,O West,6 October Compounds,6 October City
11700000.0,apartment,3.0,3.0,installments,3700000.0,174.0,0.32,2025,August,Sodic East,6Th District,New Heliopolis
2571750.0,apartment,2.0,1.0,cash,1028700.0,127.0,0.4,2025,August,Al Ahyaa District,Hurghada,Red Sea
3441932.0,chalet,3.0,1.0,cash,516289.0,70.0,0.15,2025,August,Atalantis,Hurghada Resorts,Hurghada
1450000.0,apartment,3.0,2.0,cash,73000.0,106.0,0.1,2025,August,Badya Palm Hills,6 October Compounds,6 October City
6230000.0,apartment,2.0,3.0,installments,1380000.0,146.0,0.22,2025,August,Badya Palm Hills,6 October Compounds,6 October City
27000000.0,apartment,3.0,4.0,installments,540000.0,280.0,0.02,2025,August,Marsa Baghush,Qesm Marsa Matrouh,North Coast
14815000.0,villa,3.0,2.0,cash,740000.0,130.0,0.05,2025,September,Il Monte Galala,Al Ain Al Sokhna,Suez
14000000.0,apartment,1.0,1.0,installments,2100000.0,66.0,0.15,2025,September,Kamaran,Al Gouna,Hurghada
3000000.0,chalet,3.0,1.0,installments,300000.0,60.0,0.1,2025,September,Marina 5,Marina,Al Alamein
4184000.0,apartment,3.0,3.0,installments,1000000.0,166.0,0.24,2025,September,North House,The 5Th Settlement,New Cairo City
4100000.0,apartment,3.0,4.0,cash,410000.0,158.0,0.1,2025,August,Vye Sodic,New Zayed City,Sheikh Zayed City
13000000.0,chalet,3.0,2.0,cash,1300000.0,115.0,0.1,2025,September,Mangroovy Residence,Al Gouna,Hurghada
39200000.0,villa,3.0,4.0,installments,0.0,301.0,0.0,2025,September,Ogami,Ras Al Hekma,North Coast
14500000.0,chalet,3.0,3.0,installments,1450000.0,140.0,0.1,2025,August,Ramla Lakeside,Qesm Ad Dabaah,North Coast
6235000.0,apartment,3.0,2.0,installments,2800000.0,145.0,0.45,2025,August,Nile Boulevard,New Cairo City,Cairo
30000000.0,villa,3.0,3.0,cash,3000000.0,190.0,0.1,2025,September,Beit Al Bahr,Sidi Heneish,North Coast
19900000.0,chalet,3.0,2.0,installments,1990000.0,151.0,0.1,2025,August,Ramla Lakeside,Qesm Ad Dabaah,North Coast
14400000.0,chalet,3.0,3.0,cash,7200000.0,241.0,0.5,2025,August,Direction White,Ras Al Hekma,North Coast
1450000.0,apartment,3.0,2.0,cash,60000.0,130.0,0.1,2025,August,Village West,Sheikh Zayed Compounds,Sheikh Zayed City
15500000.0,chalet,3.0,2.0,installments,1550000.0,107.0,0.1,2025,August,Azha North,Ras Al Hekma,North Coast
3800000.0,chalet,1.0,1.0,installments,380000.0,65.0,0.1,2025,August,Hacienda White,Sidi Abdel Rahman,North Coast
26000000.0,villa,3.0,5.0,cash,2600000.0,236.0,0.1,2025,September,Azad,5Th Settlement Compounds,The 5Th Settlement
2750000.0,apartment,3.0,3.0,installments,275000.0,180.0,0.1,2025,July,Elysium,Sheikh Zayed Compounds,Sheikh Zayed City
6650000.0,apartment,3.0,3.0,installments,665000.0,186.0,0.1,2025,July,Zayed Regency,Sheikh Zayed Compounds,Sheikh Zayed City
1814400.0,apartment,3.0,1.0,cash,725760.0,60.0,0.4,2025,September,Al Ahyaa District,Hurghada,Red Sea
5182000.0,apartment,3.0,2.0,installments,259100.0,139.0,0.05,2025,September,Al Maqsad,New Capital Compounds,New Capital City
5288197.0,apartment,1.0,1.0,cash,528819.7000000001,83.0,0.1,2025,September,Sarai,Mostakbal City Compounds,Mostakbal City - Future City
13200000.0,chalet,3.0,3.0,cash,850000.0,141.0,0.06,2025,September,Mar Bay,Ras Al Hekma,North Coast
7800000.0,villa,3.0,3.0,installments,780000.0,170.0,0.1,2025,September,Mountain View,Ras Al Hekma,North Coast
7000000.0,apartment,3.0,3.0,cash,700000.0,209.0,0.1,2025,July,Moon Residences,Fifth Square,The 5Th Settlement
18000000.0,apartment,3.0,3.0,installments,1800000.0,245.0,0.1,2025,September,Stoda,Sheraton Al Matar,El Nozha
60000000.0,villa,3.0,4.0,cash,3000000.0,723.5400000000009,0.05,2025,August,Soul North Coast,Qesm Ad Dabaah,North Coast
21500000.0,villa,2.0,2.0,installments,1075000.0,122.0,0.05,2025,September,Wadi Jebal,Soma Bay,Safaga
60000000.0,villa,3.0,5.0,cash,3000000.0,670.0,0.05,2025,August,Ramla Lakeside,Qesm Ad Dabaah,North Coast
8000000.0,apartment,3.0,3.0,installments,4000000.0,225.0,0.5,2025,August,Mohi Al Din Abou El Ezz St.,Mohandessin,Giza
55000000.0,villa,5.0,5.0,installments,5500000.0,388.0,0.1,2025,September,Swan Lake Residence,5Th Settlement Compounds,The 5Th Settlement
8000000.0,villa,3.0,5.0,cash,800000.0,335.0,0.1,2025,August,Jefaira,Ras Al Hekma,North Coast
16000000.0,villa,4.0,4.0,installments,1600000.0,187.0,0.1,2025,September,The Med,Ras Al Hekma,North Coast
16000000.0,villa,3.0,3.0,cash,1600000.0,155.0,0.1,2025,September,Taj City,5Th Settlement Compounds,The 5Th Settlement
6000000.0,apartment,3.0,4.0,installments,600000.0,195.0,0.1,2025,August,Badya Palm Hills,6 October Compounds,6 October City
10000000.0,chalet,1.0,2.0,cash,1000000.0,86.0,0.1,2025,August,Silver Sands,Qesm Marsa Matrouh,North Coast
19300000.0,apartment,3.0,3.0,installments,965000.0,188.0,0.05,2025,August,Blanca Gardens,Soma Bay,Safaga
4000000.0,apartment,3.0,2.0,cash,1000000.0,140.0,0.25,2025,August,Taj City,5Th Settlement Compounds,The 5Th Settlement
7000000.0,chalet,3.0,3.0,installments,700000.0,116.0,0.1,2025,July,Hacienda White,Sidi Abdel Rahman,North Coast
3000000.0,apartment,3.0,2.0,installments,300000.0,159.0,0.1,2025,August,Ivoire,Sheikh Zayed City,Giza
2900000.0,apartment,3.0,1.0,installments,1100000.0,67.0,0.38,2025,August,Noor City,Cairo,Unknown
6200000.0,chalet,2.0,2.0,cash,620000.0,100.0,0.1,2025,August,D-Bay,Qesm Ad Dabaah,North Coast
4500000.0,apartment,3.0,3.0,cash,450000.0,175.0,0.1,2025,August,The Icon Residence,5Th Settlement Compounds,The 5Th Settlement
16400000.0,villa,3.0,3.0,cash,820000.0,214.0,0.05,2025,September,Elora,New Zayed City,Sheikh Zayed City
25650000.0,villa,3.0,3.0,cash,2565000.0,170.0,0.1,2025,August,Mountain View,Ras Al Hekma,North Coast
43000000.0,villa,3.0,4.0,installments,0.0,250.0,0.0,2025,September,June,Ras Al Hekma,North Coast
27315000.0,villa,3.0,3.0,cash,3500000.0,207.0,0.13,2025,September,Noor City,Cairo,Unknown
12000000.0,chalet,3.0,2.0,cash,600000.0,110.0,0.05,2025,September,Hacienda Heneish,Qesm Marsa Matrouh,North Coast
15689250.0,apartment,3.0,3.0,installments,5241650.0,181.0,0.33,2025,August,Lake View Residence 2,5Th Settlement Compounds,The 5Th Settlement
8000000.0,chalet,3.0,3.0,installments,800000.0,130.0,0.1,2025,September,Shamasy,Sidi Abdel Rahman,North Coast
6549828.0,apartment,2.0,2.0,cash,654983.0,120.0,0.1,2025,August,Ramatan,New Capital Compounds,New Capital City
3123009.0,apartment,3.0,1.0,cash,468451.0,47.0,0.15,2025,July,Al Dau Heights,Youssef Afifi Road,Hurghada
28000000.0,chalet,3.0,2.0,cash,0.0,156.0,0.0,2025,September,South Med,Qesm Ad Dabaah,North Coast
8000000.0,chalet,3.0,2.0,installments,400000.0,110.0,0.05,2025,September,Plage,Sidi Abdel Rahman,North Coast
10280000.0,apartment,1.0,2.0,installments,0.0,78.0,0.0,2025,August,Hyde Park,5Th Settlement Compounds,The 5Th Settlement
23000000.0,villa,3.0,4.0,cash,0.0,400.0,0.0,2025,September,Ramla Lakeside,Qesm Ad Dabaah,North Coast
11685000.0,apartment,2.0,3.0,cash,2435000.0,126.0,0.21,2025,September,Ivoire East,5Th Settlement Compounds,The 5Th Settlement
13273408.0,apartment,3.0,1.0,installments,663670.0,93.0,0.05,2025,September,Swan Lake Residence,5Th Settlement Compounds,The 5Th Settlement
16300000.0,chalet,3.0,3.0,cash,163000.0,155.0,0.01,2025,August,Marsa Baghush,Qesm Marsa Matrouh,North Coast
1450000.0,apartment,3.0,1.0,installments,97764.8,55.0,0.1,2025,August,Bavaria Town,Zahraa El Maadi,Hay El Maadi
3157000.0,apartment,3.0,1.0,cash,1104950.0,70.0,0.35,2025,August,1St Avenue South Side,Hurghada Resorts,Hurghada
1450000.0,villa,3.0,3.0,cash,95000.0,140.0,0.1,2025,August,Arc Of Soma,Soma Bay,Safaga
30000000.0,villa,3.0,4.0,cash,3000000.0,305.0,0.1,2025,August,Azha North,Ras Al Hekma,North Coast
19000000.0,chalet,3.0,3.0,cash,1500000.0,92.0,0.08,2025,August,Kamaran,Al Gouna,Hurghada
14490000.0,chalet,2.0,1.0,cash,1932000.0,103.0,0.13,2025,May,Reef Town,Soma Bay,Safaga
6000000.0,apartment,3.0,2.0,installments,1550000.0,119.0,0.26,2025,August,Noor City,Cairo,Unknown
10700000.0,chalet,1.0,1.0,installments,1070000.0,70.0,0.1,2025,September,Ras Soma,Safaga,Hurghada
14000000.0,apartment,2.0,2.0,cash,700000.0,115.0,0.05,2025,August,Azzar Legacy,5Th Settlement Compounds,The 5Th Settlement
40000000.0,villa,3.0,7.0,cash,4000000.0,386.0,0.1,2025,August,City Gate,5Th Settlement Compounds,The 5Th Settlement
52713262.0,villa,3.0,6.0,installments,9000000.0,349.0,0.2,2025,August,Marassi,Sidi Abdel Rahman,North Coast
12613652.0,chalet,3.0,3.0,installments,4959324.0,146.0,0.39,2025,September,Marina 8,Marina,Al Alamein
8000000.0,chalet,2.0,1.0,installments,2250000.0,140.0,0.28,2025,August,Mazarine,New Alamein City,Al Alamein
1800000.0,apartment,3.0,2.0,cash,180000.0,165.0,0.1,2024,July,Italian Neighborhood Road,Hadayek October,6 October City
17294000.0,apartment,3.0,3.0,installments,864700.0,177.0,0.05,2025,September,Sodic East,6Th District,New Heliopolis
15230000.0,villa,4.0,4.0,installments,5586000.0,334.0,0.37,2025,August,City Gate,5Th Settlement Compounds,The 5Th Settlement
10200000.0,apartment,3.0,2.0,cash,1020000.0,100.0,0.1,2025,August,Vye Sodic,New Zayed City,Sheikh Zayed City
5669240.0,chalet,2.0,2.0,installments,325000.0,86.0,0.06,2025,August,Cali Coast,Ras Al Hekma,North Coast
10900000.0,apartment,3.0,3.0,cash,218000.0,199.0,0.02,2025,August,The Crest,5Th Settlement Compounds,The 5Th Settlement
3745575.0,apartment,3.0,3.0,cash,561836.0,165.0,0.15,2025,July,Obour City,Qalyubia,Unknown
6000000.0,apartment,2.0,2.0,cash,600000.0,139.0,0.1,2025,July,Hyde Park,5Th Settlement Compounds,The 5Th Settlement
24557000.0,villa,3.0,3.0,installments,9000000.0,191.0,0.46,2025,July,Palm Hills New Cairo,5Th Settlement Compounds,The 5Th Settlement
27500000.0,apartment,3.0,4.0,cash,0.0,225.0,0.0,2025,September,Silver Sands,Qesm Marsa Matrouh,North Coast
3600000.0,apartment,3.0,1.0,installments,180000.0,73.0,0.05,2025,August,Elaia,New Heliopolis Compounds,New Heliopolis
9000000.0,apartment,2.0,3.0,installments,900000.0,170.0,0.1,2025,August,The Med,Ras Al Hekma,North Coast
8600000.0,apartment,3.0,3.0,cash,4000000.0,156.0,0.47,2025,September,O West,6 October Compounds,6 October City
16500000.0,apartment,3.0,3.0,installments,0.0,195.0,0.0,2025,September,Creek Town,The 1St Settlement,New Cairo City
21000000.0,villa,3.0,3.0,installments,2100000.0,200.0,0.1,2025,July,Mar Bay,Ras Al Hekma,North Coast
10450000.0,apartment,3.0,3.0,cash,1045000.0,216.0,0.1,2025,September,Hyde Park,5Th Settlement Compounds,The 5Th Settlement
30000000.0,villa,3.0,5.0,cash,1500000.0,450.0,0.05,2025,August,Solare,Ras Al Hekma,North Coast
18902000.0,apartment,2.0,2.0,installments,945000.0,188.0,0.05,2025,September,Palm Hills,Alexandria Compounds,Alexandria
3700000.0,apartment,1.0,1.0,cash,370000.0,72.0,0.1,2025,September,Q-Hills,New Zayed City,Sheikh Zayed City
12350000.0,apartment,3.0,3.0,cash,930000.0,171.0,0.08,2025,August,Mesca,Soma Bay,Safaga
8173827.0,chalet,3.0,2.0,installments,450283.0,120.0,0.06,2025,August,Village West,Sheikh Zayed Compounds,Sheikh Zayed City
31000000.0,other,3.0,3.0,cash,3100000.0,135.0,0.1,2025,August,Almaza Bay,Qesm Marsa Matrouh,North Coast
20598000.0,villa,3.0,4.0,cash,2059800.0,285.0,0.1,2025,September,Saada Compound,New Cairo City,Cairo
13200000.0,chalet,3.0,2.0,cash,1320000.0,70.0,0.1,2025,August,Swan Lake Gouna,Al Gouna,Hurghada
10658000.0,chalet,2.0,2.0,installments,2000000.0,98.0,0.19,2025,September,Solare,Ras Al Hekma,North Coast
3000000.0,apartment,3.0,3.0,cash,300000.0,143.0,0.1,2025,August,Nyoum October,Northern Expansions,6 October City
5030000.0,apartment,3.0,3.0,cash,503000.0,190.0,0.1,2025,August,Trio,5Th Settlement Compounds,The 5Th Settlement
15300000.0,chalet,2.0,2.0,installments,1270000.0,118.0,0.08,2025,August,Ramla Lakeside,Qesm Ad Dabaah,North Coast
9600000.0,apartment,3.0,2.0,installments,1920000.0,127.0,0.2,2025,August,Beta Greens,Mostakbal City Compounds,Mostakbal City - Future City
13000000.0,apartment,3.0,4.0,cash,1300000.0,208.0,0.1,2025,September,Taj City,5Th Settlement Compounds,The 5Th Settlement
9300000.0,apartment,2.0,2.0,installments,930000.0,130.0,0.1,2025,September,Mountain View Icity October,6 October Compounds,6 October City
6900000.0,villa,3.0,3.0,cash,690000.0,278.0,0.1,2025,August,Tawny Hyde Park,6 October Compounds,6 October City
3500000.0,chalet,2.0,1.0,installments,350000.0,115.0,0.1,2025,July,New Alamein City,Al Alamein,North Coast
3500000.0,chalet,1.0,1.0,cash,175000.0,83.0,0.05,2025,September,Glee,Qesm Borg El Arab,North Coast
9900000.0,apartment,3.0,3.0,cash,4500000.0,130.0,0.45,2025,August,Palm Parks Palm Hills,South Dahshur Link,6 October City
2220000.0,apartment,2.0,1.0,cash,888000.0,60.0,0.4,2025,December,Hurghada Marina,Hurghada Resorts,Hurghada
20009000.0,chalet,3.0,1.0,installments,4000400.0,66.0,0.2,2025,August,Zoya,Sidi Abdel Rahman,North Coast
6050000.0,apartment,3.0,3.0,installments,605000.0,199.0,0.1,2025,September,Terrace Compound,Sheikh Zayed Compounds,Sheikh Zayed City
39000000.0,villa,3.0,5.0,cash,0.0,280.0,0.0,2025,August,Marsa Baghush,Qesm Marsa Matrouh,North Coast
19000000.0,apartment,3.0,1.0,installments,1900000.0,84.0,0.1,2025,September,Fanadir Bay,Al Gouna,Hurghada
9000000.0,chalet,3.0,1.0,cash,900000.0,75.0,0.1,2025,August,Mangroovy Residence,Al Gouna,Hurghada
19000000.0,apartment,3.0,2.0,installments,850000.0,165.0,0.04,2025,September,Blanca Gardens,Soma Bay,Safaga
10437000.0,chalet,3.0,2.0,installments,521850.0,110.0,0.05,2025,August,Fouka Bay,Qesm Marsa Matrouh,North Coast
3704675.0,apartment,3.0,1.0,cash,555701.0,51.0,0.15,2025,August,Long Beach Resort,Hurghada,Red Sea
65000000.0,villa,3.0,5.0,installments,0.0,350.0,0.0,2025,August,Ogami,Ras Al Hekma,North Coast
11000000.0,apartment,3.0,3.0,installments,1100000.0,160.0,0.1,2025,August,Mountain View Icity October,6 October Compounds,6 October City
8952000.0,apartment,3.0,2.0,installments,447000.0,118.0,0.05,2025,August,Village West,Sheikh Zayed Compounds,Sheikh Zayed City
22500000.0,chalet,3.0,3.0,cash,1125000.0,176.0,0.05,2025,August,Almaza Bay,Qesm Marsa Matrouh,North Coast
6052000.0,apartment,3.0,3.0,installments,605200.0,178.0,0.1,2025,September,Alex West,Alexandria Compounds,Alexandria
18500000.0,chalet,3.0,3.0,cash,1850000.0,165.0,0.1,2025,September,Almaza Bay,Qesm Marsa Matrouh,North Coast
10000000.0,chalet,3.0,2.0,cash,1000000.0,140.0,0.1,2025,September,Ogami,Ras Al Hekma,North Coast
10511000.0,chalet,3.0,2.0,cash,525000.0,105.0,0.05,2025,September,Il Monte Galala,Al Ain Al Sokhna,Suez
13453000.0,apartment,2.0,2.0,cash,673000.0,108.0,0.05,2025,September,Marriott Residence Heliopolis,Almazah,Heliopolis - Masr El Gedida
56530000.0,villa,3.0,4.0,installments,5653000.0,346.0,0.1,2025,September,Silver Sands,Qesm Marsa Matrouh,North Coast
5800000.0,chalet,3.0,3.0,installments,300000.0,120.0,0.05,2025,August,Koun,Ras Al Hekma,North Coast
8600000.0,apartment,3.0,2.0,cash,500000.0,94.0,0.06,2025,August,O West,6 October Compounds,6 October City
1600000.0,apartment,3.0,1.0,installments,160000.0,45.0,0.1,2025,April,Golf Porto Marina,Al Alamein,North Coast
45608000.0,villa,4.0,4.0,installments,9000000.0,264.0,0.34,2025,August,Soul North Coast,Qesm Ad Dabaah,North Coast
5840000.0,apartment,1.0,1.0,installments,2100000.0,70.0,0.36,2025,August,Palm Hills New Cairo,5Th Settlement Compounds,The 5Th Settlement
3795000.0,chalet,2.0,1.0,cash,759000.0,60.0,0.2,2025,September,Golf Porto Marina,Al Alamein,North Coast
16000000.0,apartment,3.0,4.0,installments,1600000.0,235.0,0.1,2025,August,Mountain View Icity October,6 October Compounds,6 October City
10200000.0,apartment,3.0,1.0,cash,1020000.0,100.0,0.1,2025,August,Village West,Sheikh Zayed Compounds,Sheikh Zayed City
2700000.0,apartment,3.0,3.0,cash,270000.0,173.0,0.1,2025,September,Sun Capital,Fayoum Desert Road,6 October City
2000000.0,villa,3.0,7.0,installments,200000.0,383.0,0.1,2025,September,Upville,Cairo Alexandria Desert Road,6 October City
9000000.0,chalet,3.0,3.0,installments,900000.0,120.0,0.1,2025,August,The Med,Ras Al Hekma,North Coast
17374260.0,chalet,3.0,3.0,installments,2600000.0,142.0,0.15,2025,August,South Med,Qesm Ad Dabaah,North Coast
21436854.0,apartment,3.0,3.0,installments,2143685.0,170.0,0.1,2025,September,Mountain View Icity,5Th Settlement Compounds,The 5Th Settlement
4715000.0,apartment,3.0,1.0,cash,943000.0,45.0,0.2,2025,August,Storia Del Mare,Hurghada Resorts,Hurghada
65000000.0,other,3.0,3.0,installments,6500000.0,170.0,0.1,2025,August,Silver Sands,Qesm Marsa Matrouh,North Coast
10383021.0,chalet,2.0,2.0,cash,542539.0,124.0,0.05,2025,September,Mesca,Soma Bay,Safaga
30000000.0,villa,3.0,3.0,cash,1500000.0,215.0,0.05,2025,September,El Patio Town,5Th Settlement Compounds,The 5Th Settlement
16000000.0,other,1.0,2.0,installments,4000000.0,73.0,0.25,2025,September,Zed East,5Th Settlement Compounds,The 5Th Settlement
6580358.0,apartment,1.0,1.0,cash,658035.8,94.0,0.1,2025,September,Sarai,Mostakbal City Compounds,Mostakbal City - Future City
7505000.0,chalet,2.0,1.0,cash,385000.0,90.0,0.05,2025,August,Marseilia Beach 5,Ras Al Hekma,North Coast
4100000.0,apartment,3.0,3.0,cash,650000.0,161.0,0.16,2025,August,Al Maqsad,New Capital Compounds,New Capital City
34100000.0,villa,3.0,4.0,cash,0.0,240.0,0.0,2025,September,Almaza Bay,Qesm Marsa Matrouh,North Coast
2685000.0,apartment,3.0,2.0,installments,1342500.0,150.0,0.5,2025,August,Al Hadaba Al Wosta,Mokattam,Cairo
14500000.0,chalet,3.0,4.0,installments,700000.0,125.0,0.05,2025,September,Mountain View,Ras Al Hekma,North Coast
4290000.0,apartment,2.0,2.0,cash,790000.0,122.0,0.18,2025,August,Latin District,New Alamein City,Al Alamein
7974250.0,apartment,3.0,3.0,installments,797425.0,167.0,0.1,2025,September,Maadi View,El Shorouk Compounds,Shorouk City
3400000.0,apartment,3.0,3.0,installments,340000.0,140.0,0.1,2025,August,O West,6 October Compounds,6 October City
11146348.0,apartment,3.0,4.0,cash,2800000.0,210.0,0.25,2025,September,Aliva,Mostakbal City Compounds,Mostakbal City - Future City
16565000.0,apartment,3.0,3.0,cash,3650000.0,120.0,0.22,2025,August,Px Palm Hills,6 October Compounds,6 October City
27782680.0,villa,3.0,5.0,cash,2778268.0,258.0,0.1,2025,August,Ramla Lakeside,Qesm Ad Dabaah,North Coast
12000000.0,chalet,2.0,2.0,cash,1200000.0,120.0,0.1,2025,August,Youd,Ras Al Hekma,North Coast
8000000.0,chalet,2.0,3.0,cash,800000.0,127.0,0.1,2025,September,Seashore,Ras Al Hekma,North Coast
14050500.0,chalet,3.0,3.0,cash,739500.0,130.0,0.05,2025,August,Hacienda Heneish,Qesm Marsa Matrouh,North Coast
18100000.0,chalet,3.0,4.0,cash,1200000.0,160.0,0.07,2025,September,Marsa Baghush,Qesm Marsa Matrouh,North Coast
4236000.0,other,3.0,1.0,cash,847200.0,59.0,0.2,2026,January,El Kawther District,Hurghada,Red Sea
16466978.0,apartment,3.0,4.0,cash,1646697.8,268.0,0.1,2025,July,Marville New Zayed,New Zayed City,Sheikh Zayed City
16200000.0,chalet,3.0,2.0,installments,1620000.0,125.0,0.1,2025,August,Mountain View,Ras Al Hekma,North Coast
